,L1_Unhatched_2,L1_Unhatched_3,L1_Unhatched_4,L1_Unhatched_5,L1_Unhatched_6,L1_Hatched_1,L1_Hatched_2,L1_Hatched_3,L1_3hr_2,L1_3hr_3,L1_3hr_4,L1_3hr_6,L1_24hr_1,L1_24hr_2,L1_24hr_3,L1_24hr_4,L1_24hr_5,L1_24hr_6,L2_1,L2_2,L2_3,L2_4,L2_5,L2_6
TMUE_3000011468.1,2,0,2,18,2,2,0,2,0,0,2,0,4,1,1,0,0,0,0,0,2,1,0,0
TMUE_3000011469.1,5,13,52,2,0,2,0,0,0,1,2,0,0,1,1,0,0,2,0,2,94,2,9,32
TMUE_3000011470.1,6,11,50,10,23,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,26,2,8,5
TMUE_3000011471.1,7,14,42,11,5,0,0,3,0,0,2,0,0,0,2,3,0,0,2,3,8,1,2,3
TMUE_3000011472.1,78,29,152,36,11,16,3,16,5,13,3,6,4,12,17,1,3,9,97,64,38,33,72,37
TMUE_3000011473.1,148,19,673,178,123,64,12,51,4,24,92,3,12,33,56,33,16,40,79,36,81,51,49,90
TMUE_3000011473.2,165,166,22,165,41,0,0,68,9,15,0,8,11,92,23,0,0,25,13,21,0,29,0,0
TMUE_3000011473.3,0,0,0,0,0,0,0,0,0,0,0,0,12,15,0,0,0,7,28,34,0,5,14,0
TMUE_3000011474.1,1442,1036,986,1737,860,664,54,838,163,240,491,117,192,521,576,338,145,500,3898,3238,552,2592,2086,689
TMUE_3000011475.1,1028,757,658,908,714,337,26,591,10,87,115,25,57,127,138,77,29,153,387,530,119,426,391,143
TMUE_3000011476.1,0,27,44,0,0,0,0,0,0,0,0,0,0,0,12,0,0,16,0,0,12,14,0,0
TMUE_3000011476.2,275,158,146,390,228,91,32,123,14,130,87,14,49,76,131,33,7,112,352,518,75,235,389,68
TMUE_3000011477.1,994,423,413,445,239,205,15,107,10,45,70,16,12,91,92,16,14,134,128,108,61,130,164,45
TMUE_3000011478.1,298,125,253,172,0,143,0,40,3,69,66,9,1,50,49,15,21,0,68,64,0,62,100,0
TMUE_3000011479.1,70,42,24,120,16,19,0,21,12,36,106,79,102,80,72,35,18,43,102,199,2,249,96,12
TMUE_3000011480.1,368,226,354,276,268,160,17,164,48,48,56,24,16,73,80,18,6,32,206,146,56,121,206,53
TMUE_3000011481.1,332,390,394,426,184,37,16,188,38,55,53,11,48,33,55,17,0,30,62,86,8,25,63,11
TMUE_3000011481.2,28,144,0,28,0,0,0,0,0,0,36,28,0,0,17,0,0,0,0,0,0,0,0,0
TMUE_3000011481.3,0,87,110,293,526,102,0,95,26,22,27,0,0,0,0,0,13,0,0,0,0,52,0,0
TMUE_3000011482.1,2226,1366,1365,1479,1114,380,33,1110,196,355,249,102,179,298,427,144,40,309,2029,1144,148,550,982,129
TMUE_3000011483.1,893,604,980,607,277,235,38,296,42,145,177,12,57,200,213,76,44,148,636,423,114,266,504,94
TMUE_3000011484.1,4,0,28,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,2,0,11
TMUE_3000011485.1,2,1,30,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,7,0,2
TMUE_3000011486.1,303,160,202,230,77,94,4,140,34,30,110,31,93,131,133,80,31,107,340,328,115,239,225,150
TMUE_3000011487.1,233,374,310,402,629,83,25,235,50,58,92,31,29,50,31,20,5,40,57,99,23,74,93,30
TMUE_3000011488.1,524,170,277,391,151,158,3,58,38,96,154,27,16,80,66,44,9,81,340,684,171,1125,724,218
TMUE_3000011489.1,40,32,35,59,15,34,2,18,0,16,46,12,1,26,17,7,2,7,117,127,18,152,109,18
TMUE_3000011490.1,229,136,137,208,241,74,4,115,30,32,56,23,0,164,131,32,17,94,144,200,29,219,219,29
TMUE_3000011490.2,8,0,0,0,0,0,0,0,0,9,8,0,33,13,7,0,0,16,0,4,0,12,5,8
TMUE_3000011491.1,634,335,285,231,131,105,15,50,53,126,98,6,13,155,181,9,4,99,141,199,124,265,303,107
TMUE_3000011492.1,276,160,200,261,150,77,3,110,36,78,111,25,74,152,173,43,25,90,422,311,36,180,236,46
TMUE_3000011493.1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,1
TMUE_3000011495.1,89,43,84,65,8,6,9,11,0,15,32,5,17,35,27,12,7,32,27,44,46,49,50,71
TMUE_3000011495.2,80,73,273,20,20,13,8,0,2,19,14,1,0,47,23,2,8,6,6,8,152,20,33,87
TMUE_3000011496.1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMUE_3000011497.1,508,293,532,229,147,86,52,33,0,79,40,2,36,103,141,20,18,68,133,219,291,155,339,239
