,L1_Unhatched_2,L1_Unhatched_3,L1_Unhatched_4,L1_Unhatched_5,L1_Unhatched_6,L1_Hatched_1,L1_Hatched_2,L1_Hatched_3,L1_3hr_2,L1_3hr_3,L1_3hr_4,L1_3hr_6,L1_24hr_1,L1_24hr_2,L1_24hr_3,L1_24hr_4,L1_24hr_5,L1_24hr_6,L2_1,L2_2,L2_3,L2_4,L2_5,L2_6
TMUE_0000000001.1,64,62,54,66,50,21,6,69,4,5,16,8,12,10,19,14,2,16,72,66,1,48,47,5
TMUE_0000000002.1,6,12,51,12,12,18,5,0,0,0,16,0,0,0,0,0,0,3,0,0,5,0,16,0
TMUE_0000000002.2,28,11,31,81,13,14,0,1,6,0,0,7,0,8,0,1,0,0,0,4,3,0,9,3
TMUE_0000000002.3,235,126,33,321,120,0,0,13,8,7,0,0,4,0,10,0,0,0,14,19,0,18,10,3
TMUE_0000000002.4,23,0,163,196,35,11,0,30,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7
TMUE_0000000003.1,0,0,12,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMUE_0000000004.1,2,3,0,0,3,1,0,0,2,0,0,0,0,0,1,0,0,0,2,2,0,1,0,5
TMUE_0000000005.1,1,1,0,4,2,0,0,1,0,3,0,0,0,12,4,0,5,4,55,58,18,50,39,13
TMUE_0000000006.1,675,870,295,711,668,208,3,390,9,55,58,7,4,93,28,26,12,24,151,372,22,404,375,31
TMUE_0000000007.1,477,248,377,291,112,119,9,74,42,65,73,6,21,118,122,24,20,66,64,106,123,100,186,119
TMUE_0000000009.1,65,20,207,49,6,16,4,19,3,19,24,19,5,11,35,15,4,21,17,8,54,15,13,71
TMUE_0000000012.1,27,9,43,159,148,0,0,15,0,14,12,0,0,0,10,1,0,0,4,12,13,3,3,0
TMUE_0000000013.1,42,38,317,28,11,2,8,14,52,12,9,10,11,0,56,25,8,26,102,71,154,27,60,151
TMUE_0000000014.1,15,6,14,10,2,4,0,4,0,5,8,0,23,0,4,8,1,10,23,17,3,4,11,7
TMUE_0000000015.1,0,2,6,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,5
TMUE_0000000016.1,0,48,122,0,31,7,5,16,0,19,6,0,1,10,20,15,2,21,0,26,20,0,6,21
TMUE_0000000017.1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
TMUE_0000000018.1,210,162,101,122,110,66,3,60,0,54,21,1,7,62,53,14,6,34,78,83,14,38,106,10
TMUE_0000000019.1,323,174,193,176,76,90,8,70,38,24,35,6,28,50,53,30,12,36,180,110,28,104,142,17
TMUE_0000000021.1,567,350,219,141,85,149,0,42,19,13,25,4,13,54,112,15,9,52,61,49,24,119,87,21
TMUE_0000000022.1,8,0,0,2,2,0,0,0,0,2,1,0,0,2,6,0,0,0,4,1,1,4,3,2
TMUE_0000000023.1,20,17,71,61,7,2,8,0,0,0,2,0,0,0,2,0,0,1,2,5,35,3,1,24
TMUE_0000000024.1,51,47,21,39,23,18,0,30,1,9,9,0,5,2,6,3,2,5,104,71,6,76,77,5
TMUE_0000000025.1,96,44,80,86,32,40,3,31,6,8,18,1,18,29,26,18,1,13,117,89,32,86,67,23
TMUE_0000000026.1,14,10,18,4,2,4,0,2,0,0,2,2,0,0,0,2,0,0,506,146,12,26,106,10
TMUE_0000000027.1,5,4,18,6,3,0,1,4,1,2,0,0,0,1,2,1,0,1,3,3,3,1,0,4
TMUE_0000000028.1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
TMUE_0000000029.1,92,58,92,82,52,20,4,55,5,46,43,2,29,44,70,48,12,32,178,108,18,57,80,14
TMUE_0000000030.1,50,14,146,34,20,27,3,3,2,2,14,4,6,12,12,6,4,8,77,120,50,132,116,64
TMUE_0000000031.1,94,54,80,66,54,28,6,54,8,4,20,1,18,4,16,16,10,20,102,66,8,32,37,12
TMUE_0000000032.1,7,14,8,9,2,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
TMUE_0000000033.1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMUE_0000000034.1,2,1,34,6,4,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,22,0,0,18
TMUE_0000000035.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2
TMUE_0000000036.1,258,212,256,162,82,94,9,65,10,21,10,2,12,20,29,10,2,20,74,32,33,33,66,34
TMUE_0000000037.1,52,14,47,50,13,33,1,28,4,24,44,10,28,42,50,26,7,38,200,122,14,85,70,6
TMUE_0000000038.1,211,231,230,143,153,0,7,179,26,30,107,19,88,58,64,0,35,64,169,113,0,0,73,47
TMUE_0000000039.1,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMUE_0000000040.1,0,5,30,12,9,0,0,0,1,2,0,2,0,10,13,4,0,0,0,0,0,10,1,28
TMUE_0000000041.1,295,208,496,285,291,47,85,197,25,58,71,17,3,53,82,40,32,46,129,104,225,111,129,211
TMUE_0000000042.1,161,98,920,100,78,43,108,22,7,17,16,6,3,15,20,9,12,14,36,51,394,43,105,360
TMUE_0000000043.1,22,5,45,65,12,10,0,10,3,15,7,0,10,16,22,5,14,24,129,66,0,28,33,6
TMUE_0000000044.1,5,1,4,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,8,3,1,2,6,0
TMUE_0000000045.1,4,1,25,1,10,3,7,0,1,0,5,0,0,3,0,1,6,0,0,0,34,0,3,27
TMUE_0000000046.1,289,97,78,300,50,88,4,52,19,3,65,1,8,10,18,3,8,11,12,13,1,24,9,1
TMUE_0000000048.1,31,24,115,45,47,2,0,16,6,4,9,0,0,5,10,0,1,0,32,10,2,12,2,0
TMUE_0000000049.1,0,0,29,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,1,4,0,0,4
TMUE_0000000050.1,525,384,528,727,312,103,28,203,66,126,150,16,36,102,114,69,20,166,232,228,145,104,169,120
TMUE_0000000051.1,151,176,242,96,90,95,5,52,14,0,11,1,10,24,42,0,4,0,58,53,8,30,65,13
TMUE_0000000052.1,62,29,124,39,22,18,11,15,8,7,3,5,6,28,44,12,10,23,108,90,119,66,146,122
TMUE_0000000053.1,2,1,40,0,2,0,1,1,0,1,2,0,0,0,0,0,0,1,10,8,1,11,5,1
TMUE_0000000054.1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,10,1,1,3
TMUE_0000000055.1,1,0,46,0,0,0,2,0,0,0,0,1,0,0,0,2,0,2,2,2,20,2,2,30
TMUE_0000000056.1,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
TMUE_0000000057.1,12,4,15,5,2,5,0,14,2,3,5,0,18,19,11,9,0,3,70,18,13,12,11,7
TMUE_0000000058.1,10,12,33,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,6
TMUE_0000000059.1,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
TMUE_0000000060.1,211,174,168,129,72,68,16,22,5,14,14,1,15,0,18,1,4,25,7,21,18,41,24,15
TMUE_0000000061.1,174,95,80,142,87,27,4,46,25,18,48,12,9,28,52,26,11,24,50,83,18,76,87,20
TMUE_0000000062.1,344,267,114,168,143,102,4,204,11,56,62,14,29,32,78,36,14,62,238,164,52,114,180,38
TMUE_0000000064.1,0,1,11,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TMUE_0000000065.1,193,154,453,88,94,86,19,47,17,37,30,0,24,77,112,25,17,21,149,163,314,106,323,261
TMUE_0000000067.1,70,67,171,130,108,50,2,98,10,8,37,18,38,23,69,61,22,37,135,132,26,29,58,3
TMUE_0000000068.1,427,280,472,1034,258,187,18,221,72,148,426,118,290,634,501,456,146,470,3518,4678,794,3809,1119,913
TMUE_0000000069.1,0,0,408,18,37,0,194,4,11,3,0,0,0,0,4,19,7,2,6,9,321,8,7,180
TMUE_0000000070.1,10,0,21,2,0,0,0,11,0,2,3,0,0,0,5,4,1,3,10,6,0,0,7,0
TMUE_0000000071.1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3195,6258,143,4500,2852,175
TMUE_0000000072.1,117,143,127,145,66,81,0,108,0,35,23,19,35,73,56,34,22,80,108,182,29,220,190,20
TMUE_0000000073.1,125,143,24,66,82,45,0,74,0,42,10,0,0,49,36,27,0,31,57,49,31,60,82,8
TMUE_0000000073.2,86,0,76,77,14,7,1,0,10,0,0,5,8,0,0,0,5,6,19,16,0,0,0,0
TMUE_0000000074.1,1,0,7,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
TMUE_0000000075.1,381,236,554,176,92,35,37,49,19,30,17,0,4,24,25,5,8,0,47,16,30,22,10,28
TMUE_0000000076.1,33,46,66,15,0,6,4,34,0,2,4,8,1,0,0,4,0,0,2,10,137,39,49,72
TMUE_0000000077.1,69,50,140,42,70,25,9,59,29,0,48,14,42,9,21,38,9,27,116,79,60,37,88,75
TMUE_0000000078.1,75,54,50,65,30,28,1,8,0,10,15,5,2,41,22,2,1,8,18,5,7,8,14,0
TMUE_0000000079.1,2,18,100,12,12,5,3,4,0,0,2,1,0,0,0,0,0,0,11,8,0,0,0,2
TMUE_0000000079.2,37,11,50,26,5,0,0,15,0,9,3,0,0,0,11,0,0,0,10,0,4,0,0,9
TMUE_0000000079.3,38,55,80,50,72,11,5,20,0,0,0,0,0,0,0,0,0,2,26,5,5,5,5,9
TMUE_0000000079.4,0,94,0,0,0,141,0,2,36,0,0,0,0,0,2,0,5,10,94,190,0,0,1,0
TMUE_0000000079.5,450,172,190,317,157,0,0,260,0,14,9,0,0,0,0,0,0,0,94,0,0,49,111,4
TMUE_0000000079.6,0,0,88,15,0,0,12,0,6,0,0,0,16,0,0,5,0,0,36,0,43,0,0,53
TMUE_0000000081.1,234,95,117,233,92,85,0,82,9,73,93,0,35,49,101,0,12,87,237,134,4,79,143,0
TMUE_0000000081.2,65,88,75,77,27,22,16,58,50,0,12,17,0,24,46,23,6,8,18,32,15,38,17,7
TMUE_0000000082.1,3,14,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,7,2,79,8,31,106,5
TMUE_0000000083.1,1,0,6,6,1,2,1,1,0,0,0,0,0,0,2,0,0,1,1,2,2,2,5,2
TMUE_0000000084.1,2,1,0,3,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0
TMUE_0000000088.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,1,3,4
TMUE_0000000089.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,3,2,3
TMUE_0000000090.1,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMUE_0000000091.1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,51,26,48,88,10
TMUE_0000000092.1,0,0,0,18,46,0,0,1,0,1,1,1,0,7,4,0,3,4,84,354,611,640,949,306
TMUE_0000000093.1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0
TMUE_0000000094.1,64,46,64,46,32,8,0,29,0,7,12,4,16,6,6,3,3,5,12,12,4,6,6,2
TMUE_0000000095.1,39,26,21,29,15,15,1,10,4,11,8,4,2,9,15,4,5,11,37,31,5,50,28,6
TMUE_0000000096.1,3,6,4,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0
TMUE_0000000097.1,92,26,87,59,41,20,0,27,0,0,0,6,0,28,34,8,0,0,43,41,0,31,42,0
TMUE_0000000098.1,184,138,135,153,85,70,4,113,18,47,44,10,28,60,70,23,12,68,512,378,34,172,304,24
TMUE_0000000099.1,5,2,3,3,4,0,0,2,0,0,0,0,1,2,0,0,0,0,16,13,2,22,10,2
TMUE_0000000100.1,93,55,186,88,46,39,14,36,10,40,52,16,14,19,44,24,7,38,90,60,38,52,58,30
TMUE_0000000101.1,5791,3856,2305,6942,1127,1860,74,2207,292,356,1166,238,365,1224,1222,318,178,890,564,1764,90,1682,638,156
TMUE_0000000102.1,6,13,111,6,8,6,2,4,3,2,6,2,1,4,2,2,2,4,8,12,76,14,11,44
TMUE_0000000103.1,18,7,28,10,4,6,2,1,0,4,0,0,0,1,0,0,0,0,26,267,29,290,334,16
TMUE_0000000104.1,2392,1439,5796,1730,308,524,314,240,206,207,196,38,10,30,25,8,4,16,31,31,186,68,60,176
TMUE_0000000105.1,68,36,344,50,82,12,35,1,10,2,4,0,0,0,2,0,0,2,0,2,48,2,6,22
TMUE_0000000106.1,1,7,15,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,6,7,4
TMUE_0000000107.1,92,54,100,69,45,26,7,28,6,16,7,4,16,44,14,17,4,31,88,61,32,33,114,22
TMUE_0000000108.1,2,2,2,4,4,2,0,1,0,0,0,1,0,0,0,0,0,0,33,14,8,18,24,6
TMUE_0000000109.1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TMUE_0000000110.1,6,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,1,0
TMUE_0000000111.1,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,3,2,0,0,0,0,0,11
TMUE_0000000112.1,7,5,0,0,6,4,0,0,0,0,0,0,0,3,0,0,0,4,6,1,6,0,6,6
TMUE_0000000113.1,4,0,17,0,1,0,0,0,0,0,2,0,0,0,2,0,0,2,1,0,4,2,0,3
TMUE_0000000114.1,150,84,105,139,118,41,1,94,4,40,46,6,34,160,160,64,24,106,524,419,66,236,321,69
TMUE_0000000115.1,16,24,37,0,0,10,6,26,34,47,22,0,37,63,103,16,0,32,223,122,17,115,150,54
TMUE_0000000116.1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,7,8,0,10,14,2
TMUE_0000000117.1,80,71,797,293,168,48,22,52,24,41,81,11,20,52,19,28,0,30,67,42,100,59,42,97
TMUE_0000000118.1,129,101,938,124,116,40,26,133,36,14,46,14,21,30,33,44,25,25,450,242,341,103,150,320
TMUE_0000000119.1,270,124,175,180,82,48,11,139,7,38,28,6,13,36,68,30,6,24,144,124,24,72,102,33
TMUE_0000000120.1,50,48,93,108,34,9,6,46,6,8,14,4,2,8,3,4,0,10,4,4,7,5,8,8
TMUE_0000000121.1,84,62,48,108,41,22,6,17,12,10,22,5,4,20,33,10,3,14,10,34,17,45,54,15
TMUE_0000000122.1,3,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
TMUE_0000000123.1,46,24,24,12,6,1,1,8,0,4,0,0,2,5,2,0,0,5,46,73,18,66,45,8
TMUE_0000000124.1,316,218,94,134,103,86,5,78,4,35,20,2,42,148,108,45,15,74,212,260,29,232,296,28
TMUE_0000000125.1,174,337,95,196,214,45,4,144,8,28,28,3,2,6,20,3,5,24,9,18,6,40,34,10
TMUE_0000000126.1,0,0,18,4,1,0,1,0,0,0,1,0,5,1,1,0,0,1,0,1,4,0,0,2
TMUE_0000000127.1,24,30,38,20,17,10,0,14,2,5,14,0,14,23,16,4,0,16,69,53,5,45,53,11
TMUE_0000000128.1,260,74,87,100,35,36,2,24,3,30,28,4,30,60,44,18,4,34,30,45,5,42,50,6
TMUE_0000000129.1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TMUE_0000000130.1,45,21,16,0,2,0,0,0,0,0,0,8,0,6,5,3,1,11,121,571,625,1371,2980,508
TMUE_0000000131.1,223,69,69,241,57,38,1,45,21,35,115,19,16,27,78,11,0,75,149,220,25,160,132,27
TMUE_0000000132.1,46,63,262,78,35,27,3,48,10,43,28,0,12,36,41,8,16,24,114,61,29,27,49,23
TMUE_0000000133.1,274,168,236,173,103,107,9,99,46,93,96,10,55,102,109,59,23,84,406,307,123,185,338,102
TMUE_0000000134.1,116,101,288,130,61,30,7,89,3,11,25,4,3,0,7,18,4,6,85,22,15,12,21,32
TMUE_0000000135.1,77,21,22,146,17,22,1,18,5,24,88,6,68,144,87,85,27,104,284,338,12,466,124,12
TMUE_0000000137.1,27,7,9,11,8,3,2,6,0,0,2,0,1,0,0,0,0,0,6,26,3,37,12,3
TMUE_0000000138.1,134,116,151,102,64,34,2,49,8,14,22,6,3,28,23,16,4,16,28,32,22,25,42,18
TMUE_0000000139.1,2,6,16,6,4,0,0,2,1,2,0,2,0,2,2,0,0,3,2,2,4,3,2,1
TMUE_0000000140.1,134,71,217,65,46,31,11,44,34,9,9,4,6,5,14,6,1,5,25,28,26,15,18,20
TMUE_0000000141.1,58,30,83,46,21,24,4,22,4,28,14,3,17,14,22,11,2,9,32,23,19,19,14,16
TMUE_0000000142.1,42,39,121,53,18,46,4,20,0,10,10,5,0,11,6,13,5,6,19,23,8,9,46,0
TMUE_0000000143.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,2
TMUE_0000000144.1,122,46,721,68,31,21,28,33,0,27,17,0,17,63,94,36,14,29,136,107,458,54,156,410
TMUE_0000000145.1,66,33,39,56,30,11,0,17,0,8,9,0,0,3,28,0,0,14,29,23,3,13,15,5
TMUE_0000000146.1,0,11,0,17,3,0,0,8,0,0,1,0,0,0,0,3,3,1,0,0,0,0,9,4
TMUE_0000000147.1,310,122,629,341,131,58,34,32,16,155,120,11,15,188,175,39,13,127,114,58,122,107,184,75
TMUE_0000000149.1,8,1,30,12,2,9,1,0,1,0,0,1,0,0,4,0,3,0,0,0,51,12,0,30
TMUE_0000000150.1,194,106,248,210,104,108,22,105,0,67,84,19,31,84,136,24,32,96,365,271,139,193,345,194
TMUE_0000000150.2,0,0,0,0,0,4,0,0,18,0,0,1,0,48,0,0,0,0,0,0,0,22,0,0
TMUE_0000000151.1,1541,892,991,742,808,576,73,434,50,250,214,0,182,775,1063,163,99,727,1402,1590,325,1191,2206,388
TMUE_0000000151.2,28,19,0,43,0,0,0,0,0,12,19,9,0,41,30,0,0,10,22,50,0,40,34,0
TMUE_0000000151.3,0,0,18,0,0,74,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0
TMUE_0000000151.4,0,19,67,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,41,36,10
TMUE_0000000152.1,346,126,219,78,47,82,6,26,76,65,13,5,18,157,153,35,6,116,100,91,64,79,206,81
TMUE_0000000154.1,4,0,0,5,0,0,1,0,5,0,0,0,0,0,1,0,0,0,3,1,16,0,6,11
TMUE_0000000155.1,551,169,1632,304,239,91,92,56,6,41,29,11,16,48,61,0,22,28,20,31,250,68,62,242
TMUE_0000000156.1,495,242,155,224,66,113,0,39,35,16,62,0,14,242,273,24,28,131,207,381,24,495,399,43
TMUE_0000000157.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
TMUE_0000000158.1,2,0,3,4,0,1,0,0,0,0,1,0,0,1,2,2,0,0,2,3,4,2,1,0
TMUE_0000000159.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,3,0,0,1,0,10,1
TMUE_0000000160.1,34,34,139,75,37,13,3,26,7,7,17,3,1,9,24,13,6,18,54,52,64,34,41,48
TMUE_0000000161.1,5,1,5,9,3,0,0,1,0,1,2,1,0,0,1,0,0,3,2,3,1,1,1,0
TMUE_0000000162.1,134,125,112,92,30,29,13,37,42,34,8,4,26,47,53,20,14,38,100,68,46,56,77,54
TMUE_0000000163.1,42,20,185,118,74,24,5,5,3,20,48,3,21,32,37,7,4,30,33,39,53,33,55,34
TMUE_0000000164.1,11,10,5,0,15,0,0,0,0,12,3,0,0,4,9,4,0,0,0,0,0,0,4,0
TMUE_0000000165.1,122,53,110,71,49,34,9,21,3,17,25,6,18,33,50,10,6,36,27,60,55,84,131,42
TMUE_0000000166.1,467,311,130,195,149,94,10,330,29,41,93,12,21,104,96,77,11,118,386,294,50,263,440,34
TMUE_0000000167.1,147,80,67,130,44,29,2,88,1,16,25,14,14,32,17,12,4,24,76,102,32,97,84,29
TMUE_0000000169.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0
TMUE_0000000170.1,8,2,42,3,6,2,0,0,0,0,1,0,0,0,0,0,0,1,2,2,37,2,5,36
TMUE_0000000171.1,0,0,4,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,2,2,0,2,0,0
TMUE_0000000172.1,2,0,1,4,10,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,4,1,0
TMUE_0000000173.1,0,0,10,7,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TMUE_0000000174.1,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,21,2,1,9
TMUE_0000000175.1,2,3,11,3,1,2,0,1,0,0,1,0,1,0,1,1,0,5,7,3,6,7,7,3
TMUE_0000000176.1,0,0,3,0,0,0,2,0,0,0,0,1,0,5,0,0,0,1,1,2,20,1,0,16
TMUE_0000000177.1,0,0,17,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,10,3,2,3
TMUE_0000000178.1,154,82,74,185,66,46,3,68,4,12,27,9,18,22,32,14,7,26,124,122,7,132,106,20
TMUE_0000000179.1,510,484,650,324,350,112,30,242,44,154,121,40,38,142,233,60,30,140,316,217,184,148,290,154
TMUE_0000000180.1,4,1,14,6,3,2,2,2,5,0,4,0,0,0,4,1,0,4,4,4,6,5,0,4
TMUE_0000000181.1,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0
TMUE_0000000182.1,72,40,52,98,26,22,3,32,8,18,20,2,4,25,29,18,6,32,116,122,18,101,101,17
TMUE_0000000183.1,62,32,42,42,16,20,0,21,1,2,16,0,6,12,8,7,4,11,46,71,38,138,105,28
TMUE_0000000184.1,130,60,92,83,66,46,2,50,20,22,37,4,18,55,76,34,10,52,114,112,36,102,152,32
TMUE_0000000185.1,22,21,28,36,12,11,0,5,4,9,0,3,2,6,12,2,2,16,5,12,11,14,16,8
TMUE_0000000186.1,470,286,286,252,172,126,9,104,41,54,78,10,12,100,124,32,16,85,122,128,39,110,166,28
TMUE_0000000187.1,74,16,40,51,11,8,4,5,4,5,2,4,0,6,6,2,0,4,1,0,1,2,3,0
TMUE_0000000188.1,6,7,3,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,3,5,3,3,0
TMUE_0000000190.1,0,0,249,0,22,0,0,0,13,17,0,0,0,0,4,0,16,0,0,0,32,0,0,0
TMUE_0000000191.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,3,1,0,1
TMUE_0000000192.1,2,2,6,9,4,0,0,2,0,0,2,0,0,0,5,5,2,0,1,2,13,2,16,1
TMUE_0000000193.1,0,0,19,0,1,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,3,2
TMUE_0000000194.1,9,15,15,36,13,0,0,2,0,2,4,4,7,1,1,7,0,0,0,3,1,7,7,0
TMUE_0000000195.1,455,266,43,174,118,59,0,127,46,51,50,0,37,141,162,16,17,63,195,190,0,140,222,12
TMUE_0000000196.1,275,215,106,157,80,80,0,9,9,68,42,7,0,198,165,9,6,100,20,121,19,200,206,23
TMUE_0000000197.1,3,4,8,5,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,2,5,3,0,0
TMUE_0000000198.1,133,80,68,7,18,35,4,2,2,4,2,0,6,15,9,8,1,8,8,11,47,23,29,49
TMUE_0000000199.1,1018,435,627,496,234,326,29,185,37,40,45,23,14,97,122,32,31,79,76,193,127,246,261,135
TMUE_0000000200.1,267,238,169,451,139,102,3,198,32,107,276,46,111,221,258,116,44,200,247,463,44,429,304,34
TMUE_0000000202.1,886,746,506,789,705,210,16,364,76,217,192,50,27,176,131,100,28,194,397,372,49,268,494,61
TMUE_0000000204.1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
TMUE_0000000205.1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMUE_0000000206.1,460,312,314,339,287,201,9,134,5,97,128,35,46,302,313,72,56,269,711,937,185,882,1634,144
TMUE_0000000207.1,213,132,76,288,64,90,4,219,37,59,170,47,54,112,110,74,24,118,384,552,8,595,284,9
TMUE_0000000208.1,287,187,144,147,79,48,0,85,0,44,28,2,0,106,128,0,0,71,272,282,44,154,334,78
TMUE_0000000209.1,103,41,55,42,163,22,0,18,0,17,24,0,2,37,24,23,3,30,44,161,8,66,173,19
TMUE_0000000210.1,202,144,200,141,78,54,33,55,10,51,65,2,25,105,126,25,21,120,153,186,128,190,247,144
TMUE_0000000211.1,308,118,155,52,77,86,11,18,0,37,29,2,0,122,113,8,13,84,16,70,98,130,220,74
TMUE_0000000212.1,494,100,222,206,66,118,15,10,3,46,21,3,2,102,57,3,3,52,2,24,58,52,57,47
TMUE_0000000213.1,242,92,109,82,48,44,6,14,6,28,20,1,7,72,148,14,13,75,106,127,78,132,246,62
TMUE_0000000214.1,137,46,182,73,36,85,26,66,21,11,60,9,17,48,30,14,16,24,14,7,11,4,10,10
TMUE_0000000217.1,0,1,0,4,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0
TMUE_0000000218.1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,94
TMUE_0000000220.1,4,0,0,8,0,5,0,0,0,0,2,0,0,0,0,0,0,5,2,19,0,31,28,0
TMUE_0000000221.1,2,0,10,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,7,0,13,0,14,13
TMUE_0000000222.1,0,1,25,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,1,0,3
TMUE_0000000224.1,0,0,2,4,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
TMUE_0000000225.1,7,4,4,14,0,1,0,2,0,0,1,0,0,0,2,0,0,2,0,2,1,5,1,0
TMUE_0000000226.1,0,1,27,15,8,2,0,1,1,1,2,2,0,0,6,0,0,2,1,2,8,1,4,5
TMUE_0000000228.1,0,1,2,2,0,0,0,0,0,2,0,0,2,5,0,0,0,0,0,0,3,0,0,0
TMUE_0000000230.1,252,132,82,202,82,63,2,88,6,36,49,13,18,36,48,14,3,22,103,82,8,72,70,9
TMUE_0000000231.1,2,4,32,11,3,2,0,0,0,1,0,0,1,0,4,2,0,2,2,4,7,4,12,10
TMUE_0000000232.1,68,61,38,133,38,24,0,49,2,8,22,12,20,10,14,18,4,10,50,69,9,56,49,9
TMUE_0000000233.1,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1
TMUE_0000000234.1,343,151,160,206,83,104,3,72,6,68,70,32,32,66,73,22,8,64,66,118,24,98,132,19
TMUE_0000000235.1,4,2,128,18,10,5,12,0,13,3,4,0,0,4,12,1,0,0,2,3,84,12,15,43
TMUE_0000000236.1,10,12,90,27,22,10,2,6,2,6,4,0,0,5,6,2,0,6,8,6,46,10,19,28
TMUE_0000000237.1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMUE_0000000238.1,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TMUE_0000000239.1,80,40,68,60,30,22,6,6,2,14,17,2,10,38,36,3,6,35,10,31,6,42,26,6
