"","L1_Hatched_1","L1_Hatched_2","L1_Hatched_3","L1_Unhatched_2","L1_Unhatched_3","L1_Unhatched_4","L1_Unhatched_5","L1_Unhatched_6","L1_3hr_2","L1_3hr_3","L1_3hr_4","L1_3hr_6","L1_24hr_1","L1_24hr_2","L1_24hr_3","L1_24hr_4","L1_24hr_5","L1_24hr_6","L2_1","L2_2","L2_3","L2_4","L2_5","L2_6"
"TMUE_2000006019.1",0,0,1.67348,0,0,0,0,0.601211,0,0.338786,0,0.438987,0,0.25,0,0.25,0,0,0,0,0,0,1.08512,0
"TMUE_2000006020.1",0,0,0,0,0,1.02434,0,0,0,0,1.20048,0,0,0,2,0,0,0,0,0,0,0,0,0
"TMUE_2000006021.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_2000006022.1",0,0,0,0,0,1.13899,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"TMUE_2000006023.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0871,2.3477
"TMUE_2000006024.1",0,0,0,0,0,7.01916,1.13739,0,0,0,0,0,0,0,0,0,0,0,1.23151,1.17122,5.79711,1.17227,2.19068,0
"TMUE_2000006025.1",0,0,0,0,0,5.48078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_2000006026.1",0,0,0,0,0,9.91272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84002e-05,0.00186045
"TMUE_2000006027.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_2000006028.1",0,1.70085,0,2.4023,0,5.25636,9.87418,0,0,0,0,0,0,3.57115,2.26951,0,0,0,0,0,3.14548,0,0,2.58646
"TMUE_2000006029.1",14.4704,6,20.104,52,23,104.051,52.3621,7.2614,0,23.8953,25,0,0,30,17.7436,11.277,15,19,25.4176,27.4792,34.5485,13,36.6382,30.7611
"TMUE_2000006029.2",0,0,0,0,0,0,0,0,3.18381,0,0,20,0,0,0,0.27193,0,0,0,0,0,0,0,0
"TMUE_2000006030.1",0,1,0,0.305292,27.1873,33.4749,8.49209,4.18614,0,0,7.74773,5.13321,0,0,3.35177,10.7771,1.20102,3.5472,0,3.96446,7.50726,0,1.39499,13.44
"TMUE_2000006031.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82803,0,2.14779,0,0,2.87758
"TMUE_2000006032.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2503,2.89343,3.79518,1.09228,0,0,2
"TMUE_2000006033.1",2.00852,0,0,0,0,2.06347,0,0,0,0,0,0,0,0,0,0,0,2.49226,3.3283,1.49819,1,0,0,4
"TMUE_2000006034.1",0,0,0,0,0,1.06849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.03971,0,0
"TMUE_2000006035.1",0,2,0,0,0,2.03656,1,0,3,0,0,1.24839,0,0,4,0,0,1.14389,0,7.5961,8.45584,0,19.3771,10.486
"TMUE_2000006036.1",0,0,2,2.48069,1.02831,27.1584,4.22268,3.49085,0,0,0,0,2.69079,3.4299,0,1.32221,0,0,0,2,3.91363,0,0,0
"TMUE_2000006037.1",149.031,9.78808,99.3161,814.017,565.588,242.424,259.12,135.858,41.8239,84.7391,85.3929,1.2477,11,97.4814,144.263,17.0624,8.8078,53.1455,74.6996,97.9921,0,62.4579,162.583,3.39711
"TMUE_2000006038.1",0,0,3.54095,19.7265,0,0,0,19.2894,3.82044,3.92075,4.36919,0.616501,0,4.8354,8.26193,0,0,16.2694,12.1358,0,0,2.04929,4.70417,1.52314
"TMUE_2000006039.1",2.69197,0.152632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1102,0,0,0
"TMUE_2000006040.1",1.01811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_2000006041.1",0,3,1,9,6,29,3,2.56998,0,1,4,0,1,4.72593,10,10,1,2,19.8544,32.1877,67.6108,66.1305,173.331,62.4397
"TMUE_2000006042.1",3,0,0,0,0,8.02709,3,1,0,0,3,0,0,0,0,0,1,5.78167,1,6,6,1.31378,2.67396,8
"TMUE_2000006043.1",0,0,0,0,0,4.17441,0,1.07835,0,1.71763,0,4,0,5.28587,0,0,1,5.50776,0,1,4.20004,2.26804,0,2.84945
"TMUE_2000006044.1",0,1,0,2.4985,0,8.68036,3.38822,0,0,0,3.23912,0,1,3.31486,1.61866,0,0,1.51677,0,5.5929,9.14328,1.18126,2.35945,6.25742
"TMUE_2000006045.1",5,1.5,0.513705,8,0,35.0712,0,1,0,0,0,0.5,0,0,2,2,0.53556,0,0,1.5,17.3075,3.01911,2.01265,15.5
"TMUE_2000006046.1",1,0,0,4,2,3,0,0,0,0,1,0,0,1,3,1,0,1,1,7,9,0,1,4
"TMUE_2000006047.1",0,0,0,0,0,9.06911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,7
"TMUE_2000006048.1",1.52961,0,0,0,0,2.92752,0,0,0,0,0,0,0,2,2.25636,2.74148,0,2,19.419,24.9026,5.82711,6,13.2844,2.43838
"TMUE_2000006049.1",6.68611,0,13.3761,0,6.25189,2.39269,2.38578,0,0,0,2.19738,0,7.58017,7.57776,0,5.0977,0,2.11176,13.6976,13.7594,7.66595,8.85398,13.1587,2.56174
"TMUE_2000006050.1",8.8,0.666667,10.9091,0,0.833333,11.1995,14.5922,0,0.666667,0.333333,0,1,0.333333,7.11111,0,0.333333,3,0,7,13.75,12.9129,0,9.2,16.4954
"TMUE_2000006051.1",0,0,0,0,0,5,1,2,0,0,5,0,0,0,0,0,0,0,0,2,1,1,0,5
"TMUE_2000006052.1",3,0,0,2,10,11,2,0,0,0,3,0,0,2,6,0,0,0,0,0,5,2,2,6
"TMUE_2000006053.1",0,0,0,0,1,13,0,0,0,0,0,0,0,2,3,0,0,3,0,0,1,0,3.22806,0
"TMUE_2000006054.1",0,0,0,0,0,4.34971,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"TMUE_2000006055.1",0,0,0,13,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,3,4
"TMUE_2000006056.1",19,1,11,95,18,40,60,19,1,5,0,2,0,40,15,2,3,9,131,218,36,233,267,32
"TMUE_2000006057.1",0,0,1.07013,7,2,41,10,12,0,1,1,2,0,1,0,3,1,2,5,2,16,3,14,1
"TMUE_2000006058.1",966,63,2379,2587,2632,1476,3442,2395,192,450,818,208,227,643,605,348,115,596,1753,2527,343,1769,1394,291
"TMUE_2000006059.1",548.969,177,91.4784,2558.33,1596.27,1181.3,268.45,132.169,7,111.079,27.3898,14,12.5912,284.678,425.085,18,5.74961,361.574,26.957,65.1331,599.97,240.776,573.69,372.3
"TMUE_2000006060.1",135.152,135.558,149.271,347.384,204.739,329.457,514.946,266.526,8.96439,74.6113,105.006,29.9965,98.7091,126.002,123.021,76.3367,27.4366,203.474,317.697,601.283,195.608,408.258,712.785,219.331
"TMUE_2000006061.1",58.8863,33,50.7694,196.357,141,275,175.666,173.788,25,19,18.9358,14,15,69.6477,98.8559,26.9301,24.9638,124.291,257.593,781.005,819.114,692.154,634.26,503.552
"TMUE_2000006062.1",92,23,65,359,169,174,318,133,21,43,63,2,9,99,107,21,12,65,89,244,79,208,379,53
"TMUE_2000006063.1",0.890799,0,0,0,0,0,2.13977,6.10173,0,0,0,0,0,0,2.57143,0,0,0,0,1.88009,17.2523,0,4.73709,0
"TMUE_2000006064.1",1,0,4,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,11,66,7,0,31
"TMUE_2000006065.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88423,0
"TMUE_2000006066.1",0,0,0,0,0,7.10681e-05,0,0.000150943,0,0,0,0,0,0,0,0,0,0.00017531,4.47826e-06,8.58531e-06,0,0.000232747,0.000141194,0
"TMUE_2000006067.1",5,0.5,0,9,0,10.5,0.808283,1.5,2.49985,0,0,1.5,2,17.7004,18.0638,0.5,1.65188,10,10.5,4.83687,8,6.5,6,6.5
"TMUE_2000006068.1",0,0,1.5,5.3018,2.82285,3.53061,1.5,1.30948,4.99035,0.5,0.793685,0,1.95809,14.0853,12.1805,5.41069,1.1268,8.46811,7.53332,4,1.078,6.61247,6.61757,1.34855
"TMUE_2000006069.1",22.8908,3,8.06443,40.4445,29.7122,42.0572,15.027,11.0873,3.71646,3,12.5875,2.20407,17.4491,41.4228,60.2717,27.2174,8.44996,35.5199,52.0029,116.88,37.4542,109.1,123.636,48.4512
"TMUE_2000006070.1",1.51986,0,1.83329,5.68993,16.9317,26.8073,9.44753,11,1,0,5,2,0,7.82419,0,2,4.84488,5.83703,7.85705,23.0508,9.75026,21.2946,30.1624,8.78072
"TMUE_2000006071.1",260.572,1235.57,393.433,646.991,898.67,12110.3,973.438,361.57,511.779,100.927,101.886,140.666,48.4826,62.9569,65.693,485.636,539.503,48.8349,1574.02,1221.43,6220.84,362.642,229.141,5738.36
"TMUE_2000006072.1",0,1,0,7,2,48,5,1,7,0,1,0,0,1,1,1,0,0,0,0,7,3,7,2
"TMUE_2000006073.1",2.53104e-07,80.5835,648.176,24.196,1262.21,17449,28.8447,102.352,918.784,29.4554,42.5818,124.824,33.2637,18.4971,44.5497,1082.03,430.952,36.7776,602.695,412.987,3049.84,245.905,72.7166,6552.34
"TMUE_2000006074.1",0,0,0,0,0,0,0,1.11887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_2000006075.1",6.27061,2,2,20.8934,7.90048,72.2633,4.70411,13.2242,0,2.17376,3,0,0,7.68929,11,0,0,9,3,9.80599,21.9259,5.4619,22.129,8.1852
"TMUE_2000006076.1",2,1,0,2,2,49,10,3,0,3,3,0,0,12,2,1,0,1,0,0,13,0,4,7
"TMUE_2000006077.1",2,1,3,0,1.02077,48.1565,14.6212,3.33885,0,5,1,0,0,5,4,3,1,1,5.44484,0,26.6873,3.14362,1,12
"TMUE_2000006078.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43432,1.10871,0,0,0,0
"TMUE_2000006079.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_2000006080.1",1,0,11,4,4,28,23,12,0,2,13,0,0,0,0,0,1,1,17,7,6,12,4,6
"TMUE_2000006081.1",1,0,0,3,2,8,4,2,0,0,0,0,0,2,0,0,0,0,21,12,0,10,24,2
"TMUE_2000006082.1",0,0.0716553,2.34774,3.32853,0,18.9303,0,1.60889,1,0,0,1.68917,0,0,3.32306,0,2,1.33333,0,7.13851,14.8141,5.54905,13.8367,33.7305
"TMUE_2000006083.1",0,0,1,0,3,12,0,1,0,0,0,1,1,0,3,0,0,2,16,22,3,23,20,2
"TMUE_2000006084.1",11,3,1,34,16,305,17,7,0,0,1,1,2,4,3,1,1,4,25,24,89,22,17,84
"TMUE_2000006085.1",142,50,271,410,389,530,193,264,29,86,129,29,12,94,172,74,41,105,197,220,143,208,233,121
"TMUE_2000006086.1",15,3,20,77,88,35,70,28,0,1,7,2,0,8,25,2,3,40,10,36,12,50,68,13
"TMUE_2000006087.1",1,0,0,1.32996,2.43486,54.7006,0.461171,4.1993,0,3.95565,1.35137,0,0,3.13142,1.81899,0,1.76822,1.66151,3.89085,12.6363,12.5781,3.19742,4.42627,16.4014
"TMUE_2000006088.1",1,0,0,0,0,8.5843,3.69969,0,0,0,0,0,0,0,0.1003,0,0,1,0,0,3.31706,0,3,0
"TMUE_2000006089.1",0,0,2,4,1,122,8,3,2,2,10,0,0,3,1,6,0,0,0,0,3,3,1,3
"TMUE_2000006090.1",2,0,2,0,2,0,6,3,0,0,0,0,0,2,0,0,0,0,0,2,1,3,0,1
"TMUE_2000006091.1",11.6327,0,5.01646,3,0,28.3601,19.4997,2,2,0,3,0.0657764,0,3,6,3,4,2.13981,4.23246,3.17995,5.175,9,2.39893,14.7979
"TMUE_2000006092.1",3.0644,0,6.28701,4.14857,6.04613,25.1214,26.8156,21.5951,1.02278,4,5.094,1,2.10847,7.08189,5,1,3.51706,3,22.0597,20.7949,15.1459,22.6925,36.5152,11.356
"TMUE_2000006093.1",686.414,31.7781,537.889,1907.2,2027,961,932.263,1458.62,80,208,199,10,62,208.981,268.131,94,51,301.686,159.054,738.726,157,752.585,1198.13,115.824
"TMUE_2000006093.2",70.5856,1.2219,19.1115,22.799,0,0,83.7369,21.3782,0,2.40858e-05,0,0,0,54.0187,10.8686,0,0,9.31444,14.9461,90.2745,0,56.4146,72.8722,37.1756
"TMUE_2000006094.1",249,91,34,1474,1042,475,357,163,7,92,13,7,0,113,99,2,6,127,7,36,158,84,267,79
"TMUE_2000006095.1",0,3,0,1,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
"TMUE_2000006096.1",4,0,5,5.88385,0,9.1324,16,0,0,0,0,0,0,0,0,0,0,8.59804,0,0,3.02553,4.97587,3.53499,0
"TMUE_2000006097.1",0,0,0,0,0,1.05927,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"TMUE_2000006098.1",0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TMUE_2000006099.1",631,52,281,2074,2113,754,945,763,68,233,131,35,10,278,290,17,27,217,21,275,117,493,631,89
"TMUE_2000006100.1",2,0,1,2,0,21.9962,22.9238,9,0,0,0,0,0,1.50299,0,0,0,4,5,6,15.9238,12,15.454,9
"TMUE_2000006101.1",13.692,0,34.1867,18.7972,5.44502,50.8097,30.2754,0,0,1.85539,0.792342,0,0,23.4668,3.50884,0,0,0,85.2216,65.8973,6.80389,0,0,53.6596
"TMUE_2000006102.1",28.6742,2.15906,16.4719,68.122,51.9045,25.1393,31.6266,36.1482,0,4,6.03131,2,14.1221,6.95481,10.5658,2.47835,0,16.7103,14.2759,39.9408,66.5107,28.2681,29.2401,40.644
"TMUE_2000006103.1",0,4,0,1,2,9,4,1,0,2,1,0,0,1,0,0,1,0,2,2,4,2,7,2
"TMUE_2000006104.1",0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,1,0,2.18991,1.12463,0,1,0
"TMUE_2000006105.1",5,0,5,10,11,62.7884,21.8731,7,0,6.8365,3,2,1,5,3,0,5,0,16.0466,13,20.5193,16.7053,11.0548,19.532
"TMUE_2000006106.1",254.745,28.8,451.111,581.395,599.197,442.146,574.977,607.134,63.8889,171,361.268,144.878,102.9,179.429,146.207,117.818,42.1818,136.571,410.326,466.25,89.65,348.392,462.069,127.687
"TMUE_2000006107.1",79,4,80,387,203,188,160,156,4,49,81,10,17,87,114,33,21,92,89,153,92,167,207,96
"TMUE_2000006108.1",4,123,0,3,10,80,17,38,6,7,1,9,0,9,20,11,2,8,54,377,1861,631,1342,977
"TMUE_2000006109.1",34,8,32,162,81,144.695,77.2892,40,1,32,15,3,0,33,27,15,9,29,69,64,39.4898,55.6584,78.5415,78.5768
"TMUE_2000006110.1",0,7,0,21,8,24,7,0,1,3,0,26,0,0,4,0,0,0,29,61,2029,172,559,1148
"TMUE_2000006111.1",5,2,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,5
"TMUE_2000006112.1",14,111,1,98,57,251,119,27,1,12,4,0,0,9,5,0,0,13,2,2,105,7,22,85
"TMUE_2000006113.1",5,39,1,50,78,317,109,21,1,0,3,0,0,0,10,12,0,15,0,2,183,8,14,94
"TMUE_2000006114.1",240,11,54,880,676,410,461,210,8,67,63,16,14,217,258,4,19,213,24,209,90,374,605,132
"TMUE_2000006115.1",2,7,9,25,21,367.277,54,38,3,9,2.21218,7,0,11,19.2022,1,0,24,20,20,443.316,35,46,312.339
"TMUE_2000006116.1",151,3,243,432,303,296,391,570,28,29,70,14,50,89,51,61,34,37,463,536,26,331,507,21
"TMUE_2000006117.1",91,8,60,251,176,254,116,86,6,12,25,23,34,85,121,46,20,96,52,186,231,231,233,176
"TMUE_2000006118.1",47.798,45,21,126.539,167.613,224.871,75.6389,121.624,3,16,4.94541,2,0,53,60.5756,16,6,38,0,58.2459,157.004,72.032,135.926,93
"TMUE_2000006119.1",23.2173,0,14.8771,82.9554,48.1069,85.174,48.1287,38.3945,4.0616,6.24334,22.826,1,7.33235,13.0359,42.9603,6.53114,5.64991,28.1162,6.22132,50.8332,23.7175,44.0676,97.8626,10.234
"TMUE_2000006120.1",16,15,11,68,32,209,52,10,3,3,30,2,3,12,20,2,14,17,9,10,138,29,39,104
"TMUE_2000006121.1",0,0,0,3.43685,0.092658,0,0,0,0,1.76056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_2000006122.1",69,58,14,361,163,618,113,107,10,31,42,6,10,77,82,5,18,146,24,60,795,121,293,481
"TMUE_2000006123.1",108,1,132,187,136,69,195,120,22,6,38,17,12,19,9,5,1,14,50,61,6,82,44,9
"TMUE_2000006124.1",4,1,0,4,4,42,8,3,0,1,7,3,6,1,1,1,1,1,0,2,19,4,1,25
"TMUE_2000006125.1",4,2,2,24,2,25,8,2,0,0,7,0,0,2,0,1,3,1,8,4,8,8,12,4
"TMUE_2000006126.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.828974,0,5.16765,0,12.9847,16.8432,0
"TMUE_2000006127.1",7,4,13.2912,6.4685,0,39.018,32.7325,13.4166,4.73088,6.32055,7.70098,2,5,7,3.61417,7,1,1,28.8649,13.738,9.24108,14,9,12.7908
"TMUE_2000006128.1",0,1,2,0,0,40,0,8,1,0,0,0,0,0,0,0,2,0,0,0,5,0,5,5
"TMUE_2000006129.1",1,2,4,2,0,39,12,5,7,0,2,0,0,1,1,0,4,3,5,4,6,7,3,5
"TMUE_2000006130.1",29.3103,48.4926,25.4613,162.543,305.237,739.636,118.708,217.379,18,33.6694,20.0872,1.07839,4.05539,40.8304,53.3517,17.9901,15,107.815,29.2472,66.7776,572.689,65.1536,133.254,436.965
"TMUE_2000006131.1",1,82,0,6,44,287,14,68,20,7,0,0,2,17,10,0,2,3,3,11,310,4,1,187
"TMUE_2000006132.1",239,14,235,641,642,280,534,440,31,97,123,21,71,312,297,99,47,260,478,878,52,748,977,61
"TMUE_2000006133.1",128,26,111,417,378,361,250,224,47,54,53,3,16,95,96,19,8,125,139,113,90,99,215,57
"TMUE_2000006134.1",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_2000006135.1",299,29,267,879,750,442,527,731,67,96,159,36,119,238,313,135,44,452,699,1520,673,785,3090,468
"TMUE_2000006136.1",1,0,0,1,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,6,3
"TMUE_2000006137.1",72,34,34,205,196,452,183,278,0,8,41,3,0,24,19,0,7,20,0,10,43,19,61,20
"TMUE_2000006138.1",3.2,0.333333,2.25,2,9.1,16.9412,4.5,2.25,0,3,0,0,0,0,0,0.333333,1,1,2.5,2,0,0,0,0.333333
"TMUE_2000006139.1",54.5969,37.6992,151.108,286.246,118.732,347.694,217.23,82.322,4.01171,39.8084,70.6225,50,8,16.4583,40.4889,7.06977,7.43018,36.9912,19.9081,6.01272,6.34576,1.37321,15.0853,12.5155
"TMUE_2000006140.1",0,0,0,4.56908e-08,0,55.252,0,0,0,6,0,0,0,0,13.2873,0,0,12.9958,0,0,19.3323,42.548,31,8.12209
"TMUE_2000006140.2",0,0,0,39.2265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_2000006140.3",27.2451,4,30,119.342,43.6264,10.0813,56.3236,93.8836,5,0,10.7109,0,2,0,0,2,0,17.6047,15,38,23.6677,2.45201,0,12.297
"TMUE_2000006141.1",0,0,0,6,8,9.02431,3,3,0,1,3,0,0,1,0,2,0,1.14298,2,1,79,6.23455,6,47.1715
"TMUE_2000006142.1",34,29,2,143.438,81,240,65,44,6,27,14,4,1,122,51,4,2,96,16,20,165,44,123.626,110
"TMUE_2000006143.1",3,3,4,3,8,91,7,4,4,0,1,1,0,6,3,0,0,0,2,1,5,5,3,4
"TMUE_2000006144.1",4,0,1,0,5,45,4,10,0,0,3,1,0,0,0,1,0,0,1,4,5,0,3,5
"TMUE_2000006145.1",26,5,49,118,132,28,93,26,9,17,56,3,8,42,45,10,5,69,3,3,7,11,13,4
