"","L1_Hatched_1","L1_Hatched_2","L1_Hatched_3","L1_Unhatched_2","L1_Unhatched_3","L1_Unhatched_4","L1_Unhatched_5","L1_Unhatched_6","L1_3hr_2","L1_3hr_3","L1_3hr_4","L1_3hr_6","L1_24hr_1","L1_24hr_2","L1_24hr_3","L1_24hr_4","L1_24hr_5","L1_24hr_6","L2_1","L2_2","L2_3","L2_4","L2_5","L2_6"
"TMUE_0000000001.1",21,6.5,69,63.5,61.5,53.5,66,49.5,3.5,5,16.5,7.5,12,9.5,19,14,2,16.5,72,66.5,1,48.5,47,5
"TMUE_0000000002.1",17.9999,5.18711,0,6.05313,12.1532,51.3139,12.0269,11.9038,0,0,16.1567,0,0,0,0,0,0,2.78742,0,0,5.0411,0,15.7201,0
"TMUE_0000000002.2",13.9287,0,0.830529,28.3898,11.0963,30.7483,80.741,13.0929,5.7821,0,0,7,0,8.22873,0,1,0,0,0,4.0084,3.06813,0,9.4058,2.82474
"TMUE_0000000002.3",3.1917e-06,0,12.5497,235.481,126.338,33.2002,321.458,120.488,8.04203,7.39883,0,0,4.31282,0,10,0,0,0,13.9908,19.0377,0,17.5395,9.9737,2.62509
"TMUE_0000000002.4",11.4041,0,29.5761,22.9,0,162.983,195.868,34.8621,0,0,0,0,0,0,0,0,0,0,6.17999,0,0,0,0,6.90825
"TMUE_0000000003.1",3,0,1,0,0,11.8086,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_0000000004.1",1.28311,0,0,2,2.97608,0,0,3,1.5,0,0,0,0,0,1,0,0,0,1.5,2.0125,0,1,0,5.25
"TMUE_0000000005.1",0,0,1,1,1,0,4.26907,1.74599,0,3.07822,0,0,0,12,4,0,5,4,55.3166,58.3298,17.5608,49.7969,39.3069,13.0327
"TMUE_0000000006.1",207.778,3.26129,390.236,674.512,869.946,295.289,711.323,668.137,9,55.3317,58.1355,7,4,92.7163,28.464,26,12.1138,24.3425,151.491,372.348,22.221,404.039,374.836,31.3239
"TMUE_0000000007.1",118.91,8.83934,73.7192,477.252,247.585,377.418,291.248,111.771,42,64.5482,72.9403,6,21,117.734,122.022,23.7033,19.7302,65.9921,64.3455,106.32,122.523,99.7761,185.782,118.508
"TMUE_0000000008.1",2,0,0,0.5,0,3,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0
"TMUE_0000000009.1",16,4.05251,19,65,20,207,49,6.12785,3,19,24,19,5,11,35,15,4,21,17,8,54,15,13,71
"TMUE_0000000010.1",0,0,0.5,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"TMUE_0000000011.1",0,0,0.829599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55568,0,1,0,0,0
"TMUE_0000000012.1",0,0,15.4288,26.9216,8.70093,42.5214,158.846,147.691,0,13.527,11.7145,0,0,0,9.77154,1.46001,0,0,4.39772,11.8916,12.7024,3.06915,2.71257,0
"TMUE_0000000013.1",1.84195,7.71468,13.6731,41.7311,38.3712,317.346,27.9647,11.3967,52.1581,11.8558,8.55091,9.61525,10.6196,0,55.7054,24.9779,7.65134,25.8101,102.5,70.6587,153.535,27.4472,60.4754,151.128
"TMUE_0000000014.1",4.5,0,4,15.3333,6.5,14,10.5,2,0,5,7.5,0.5,23,0,4,8.25,1,10,23,16.8,3,3.5,11,7
"TMUE_0000000015.1",0,0,0,0,2,6,2.45969,3,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,4.99982
"TMUE_0000000016.1",7.09871,4.62728,15.7748,2.02413e-08,47.6079,122,0,30.7492,0,18.7467,5.63864,0,0.800914,9.55212,20,15.4834,1.62437,21.227,0,26.4711,19.7937,0,6.37707,21.2434
"TMUE_0000000017.1",0,0,0,0,0.5,2,2.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,1.5,0,0,0
"TMUE_0000000018.1",66,3,59.5,210.5,161.5,101,122.5,110.5,0,53.5,21,1,7,62,53,14,6,34,77.5,83,14,38.5,105.5,10
"TMUE_0000000019.1",89.5,8.5,70.5,323,174.5,193,176.5,75.5,38,24,35,5.5,27.5,50.5,53,30.5,12,35.5,179.5,110.5,28.5,104.5,142,17
"TMUE_0000000020.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_0000000021.1",148.775,0,42.4555,566.927,350,218.658,141.064,84.6387,19.4363,12.5091,25.0138,4.28197,13.0973,53.9912,111.876,15.4736,8.78411,52.1424,61.4113,48.8278,24.4782,119.463,86.7183,21.053
"TMUE_0000000022.1",0,0.5,0.5,8,0,0,2,1.5,0,2,1,0,0,2,6.5,0,0,0,3.5,1,1,4,3,2.5
"TMUE_0000000023.1",2,8.5,0,20,16.8,71.4737,61,7,0,0,1.5,0,0,0,2,0,0,1,1.5,5,35,3,1,24
"TMUE_0000000024.1",18,0.333333,30.3333,50.6667,47,21.3333,38.6667,23.3333,1,9,9.33333,0.333333,4.66667,2.33333,5.66667,3,2.33333,5,104,70.6667,6.33333,75.6667,77.3333,5.33333
"TMUE_0000000025.1",39.5,3,31,96.5,43.5,79.5,85.5,32,6,8.5,18.5,1,18.5,29,26,17.5,1,13,117,89,32,86.5,67,23
"TMUE_0000000026.1",3.5,0.5,2.5,14,9.5,17.5,4,2.5,0,0,2,1.5,0,0.5,0.5,2,0,0,505.5,146.5,11.5,26.5,106,10.5
"TMUE_0000000027.1",0,1,3.5,5,3.5,17.5,5.5,3,1,2,0,0,0,1,1.5,1,0,1,3,3,3,1,0,4.5
"TMUE_0000000028.1",0,0,0,1,0,1.15271,2.07252,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
"TMUE_0000000029.1",19.5,4.5,55,91.5,58,92,81.5,51.5,5,46.5,43,2.5,29,44,70.5,48,11.5,32.5,178.5,108.5,18.5,57,80.5,13.5
"TMUE_0000000030.1",26.9288,3,3,49.6512,14.5,146.5,34.4301,19.5,2.5,2.5,14.5,4.5,6,11.5,12.5,6,3.5,8.5,77,120,50,132,116,64
"TMUE_0000000031.1",27.5,6,54.5,94,53.5,80,66,54,8,4,20.5,1,18,4.5,16,16,10,19.5,102,65.5,8,32,37,11.5
"TMUE_0000000032.1",7,0,7,7,14.5,8.5,9,2,0,0,0,0,0,0,0,0,0.5,0,0,0,2,0,0,0
"TMUE_0000000033.1",0,0,0.5,0.5,1.5,4,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"TMUE_0000000034.1",1,0,0,1.5,1,33.5,6.5,3.5,0,0,1.5,0,0,0,0,0,0,0,1,0,22.5,0,0.5,17.5
"TMUE_0000000035.1",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.5,0,1.5
"TMUE_0000000036.1",94,9,65,258.5,212.5,256,161.5,82.5,9.5,21,10.5,1.5,12.5,20.5,29,10,2,19.5,73.5,32.5,33,33,66.5,34.5
"TMUE_0000000037.1",33,1,28.5,51.5,14.5,47,49.5,13,4,23.5,44,9.5,28.5,42.5,50.5,26.5,7,38,199.5,121.5,13.5,85,70,6
"TMUE_0000000038.1",0.00305151,6.61349,179.149,211,230.851,230.35,142.83,153,25.6286,29.9589,107,19.0711,87.9999,57.6154,63.9124,0,34.8553,64,169.105,112.827,0.000116727,0.027732,72.8489,47
"TMUE_0000000039.1",0,0,5.08691,9.76073,0,0,0,0,3.88766e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_0000000040.1",0,0,0,6.73082e-06,5.02549,30.2348,11.7816,8.62402,1.04634,2.35909,0,2.4465,0,9.87679,12.9714,4.32628,0,0,0,0,3.18395e-06,10.072,0.649229,28.1929
"TMUE_0000000041.1",47.4991,85.0925,196.913,294.55,208.181,496.492,284.776,291,24.9799,58,70.6586,17,2.83714,53.187,82.469,40,32,46,129.105,104.301,225.017,110.753,129,211.276
"TMUE_0000000042.1",43,108,22,161,98.5,919.5,100,78.5,7,17,15.5,6,3,15,19.5,9,12,13.5,35.5,51,394.5,43,105,360.5
"TMUE_0000000043.1",10.4305,0,9.94552,21.8892,4.83719,45.456,64.9881,11.6319,2.82097,14.7693,7.12034,0,10.4194,16.4195,21.518,5.39812,14.4126,23.7726,129.034,65.9594,0,27.7523,33.2836,6.43138
"TMUE_0000000044.1",0,0,0.333333,5,1.33333,4.33333,2,0.666667,1.33333,0,1,0,0,0.333333,0,0.333333,0,0.333333,7.66667,3.33333,0.666667,2,6,0.333333
"TMUE_0000000045.1",3,7,0,3.71747,1,25.3166,1,9.99096,1,0,5,0,0,2.54342,0,1,5.92034,0,0,0,34.0454,0,3,27
"TMUE_0000000046.1",87.7551,3.88904,52,288.937,97.0418,77.8858,299.628,49.5559,19,3,65.2662,1,8,9.92748,17.7698,2.89071,8,11.3053,12.1979,13.4534,1.04055,24,9,1
"TMUE_0000000047.1",0.164457,0,0,0,0,0,0,1.89124,0,1.58143,0,0,0,0,0,0,0,0,0,0,0,0,0.470705,0
"TMUE_0000000048.1",1.72654,0,15.6948,31.3038,24.3787,114.775,45.3023,47.4556,5.56718,3.68975,9.4054,0,0,4.71365,9.96046,0,0.852122,0,32.3326,9.71934,2.31133,12,2.33965,0
"TMUE_0000000049.1",0,0,1.12149,0,0,28.5267,1.1494,0,1.19246,0,1.18967,0,0,0,0,0,0,0,3.5454,1.19499,3.54502,0,0,4.23568
"TMUE_0000000050.1",103,28,202.532,525.133,384.386,527.819,726.865,311.802,66,125.534,149.806,16,36,102,114.242,69,20,166,231.992,228,144.78,103.583,168.788,120.381
"TMUE_0000000051.1",95.1997,5.10401,52.138,151.121,176.244,241.808,96.4924,90.4559,13.5356,0,10.9048,1,10,24.4164,42.2184,0,3.9893,0,57.6669,52.7977,7.97528,29.6199,65.4743,12.7689
"TMUE_0000000052.1",18.5,11,15,62,29,123.5,39,22,8.5,7,3,5,5.5,27.5,44,12.5,10.5,23,108.5,90,119,66.5,146.5,121.5
"TMUE_0000000053.1",0,1,1,2.5,1,39.5,0,1.5,0,1,2.5,0,0.5,0.5,0,0,0,1,9.5,8,1,11,5,1
"TMUE_0000000054.1",0,0,0,2.5,0.5,1.06578,0,0.5,0,0,0,0.5,0,2,2.5,0,0,0,0.5,0,10,1,1.20666,2.87869
"TMUE_0000000055.1",0,1.5,0,1,0,45.5,0.5,0,0,0,0,1,0,0,0,2,0,2,2.5,2,20.5,1.5,2,29.5
"TMUE_0000000056.1",0.00229611,0,0.000116047,0,0,112.846,0.000205515,0,0,0.000204573,0,0.000253403,0.000205125,0,0.000134835,0.000205534,0,0.00123162,2.55207e-05,3.36676e-05,32.0203,0.000550208,7.60821e-08,0
"TMUE_0000000057.1",4.54443,0,14.2058,11.7544,4.10965,15.1305,5.3983,2.45408,2,3.18977,4.91094,0,17.5,19.3101,10.5048,8.77392,0.5,2.96455,70.469,17.5706,13.076,11.7524,10.9047,7.35102
"TMUE_0000000058.1",0,1.32691,0,9.75008,12.4185,33.2536,0,0,0,0,0,0,0,0,0,0.0117123,0.979278,0,0,0,18.912,0,0,6.42196
"TMUE_0000000059.1",0,0,0,0,0,0,0,0,5.6438,0,0,0,7.65124,0,0,0,0,0,0,0,0,0,0,0
"TMUE_0000000060.1",68.1124,16.1395,22.4616,211.275,174.343,167.816,129.353,72.1706,5,13.5611,14.132,1,15,0,17.9373,0.55426,4,25.2157,7.45135,20.5582,18.2233,41.4501,24.3056,14.8322
"TMUE_0000000061.1",27,4.5,45.5,173.5,95,80.5,142.5,87,25,17.5,47.5,11.5,9,27.5,52,25.5,11,24,49.5,83,18,76.5,87,19.5
"TMUE_0000000062.1",101.5,3.5,204.5,344.5,267,114,168,143,11,56,61.5,14.5,29,31.5,77.5,36,13.5,62,238.5,164,52,113.5,180.5,37.5
"TMUE_0000000063.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0
"TMUE_0000000064.1",3.5,0,0,0,1,11,1.5,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5
"TMUE_0000000065.1",85.8974,19.2,47.4545,193.03,154.157,452.68,88.4921,93.6429,17,37.3043,29.5556,0,24,76.8889,112.109,24.8889,16.6667,20.8696,149.138,163.385,314.234,106.415,323.452,261.236
"TMUE_0000000066.1",0,0,0.744026,1.19397,0.771294,1.06648,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_0000000067.1",50,1.5,98.3125,69.7143,66.6667,170.667,130,107.579,10,8.25,36.8571,18,38,23.3333,69.3333,61.4286,22,36.5714,135.111,132,26,29,58.125,2.8
"TMUE_0000000068.1",187,18,221,427,279.5,472,1034.5,257.5,72.5,148,425.5,117.5,289.5,634,501,456.5,146,470,3518.5,4678,794,3809,1119,913
"TMUE_0000000069.1",0,194.276,4.21918,0,0,407.818,18.0949,37.1398,11.4838,2.88364,0,0,0,0,4.23227,19.4071,6.55571,2.2806,6.4286,9.03609,320.865,7.53716,7.02959,180.012
"TMUE_0000000070.1",0,0,10.7253,9.67522,0,21.4319,1.89103,0,0,2,3,0,0,0,5,4,1,2.85004,9.86957,5.73715,0,0,7.39584,0
"TMUE_0000000071.1",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3194.83,6257.8,142.842,4499.52,2851.54,174.966
"TMUE_0000000072.1",81,1.07219e-08,108.428,117.42,143.135,127.18,145.308,66.0434,0,35.2562,23.2705,19,34.5028,73.1216,55.8003,33.6619,22,80.4344,108.204,182.452,29,219.77,189.721,19.8248
"TMUE_0000000073.1",44.9334,0,73.7709,125.343,143.336,23.7117,65.6501,81.9007,0,42.2761,10.1318,0,0,49.4595,35.5745,26.5608,0,30.9551,57.2742,49.3945,30.9574,59.7553,81.8736,7.53119
"TMUE_0000000073.2",6.73995,1.43137,0,86.2038,0,75.8772,76.5199,14.4715,10.3416,0,0,5.14714,7.68428,0,0,0,5.15907,5.97574,18.9973,15.7228,0,0.00579088,0,0
"TMUE_0000000074.1",0,0,2,1.14345,0,6.92096,2.31955,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TMUE_0000000075.1",35.4286,36.8,48.9814,381.131,236.29,554.385,175.583,91.8679,19,29.6012,17,0,3.84359,24.1667,24.6667,5,8,0,47.155,16.5,30,21.9084,10.1667,28.1538
"TMUE_0000000076.1",6,3.6,34,32.7273,45.8182,66,15.3333,0,0,1.5,4,8,1,0,0,4,0,0.5,1.66667,10,136.635,39.4286,49.1944,71.8966
"TMUE_0000000077.1",25,8.94885,58.7009,68.6432,50.0567,139.736,41.6675,69.8538,29.338,0.0101287,48.3499,14,42,9.3469,21,37.5675,9,27.058,115.763,79.0031,59.7811,37.0126,87.8782,74.816
"TMUE_0000000078.1",28,1,8,75.2162,53.55,50.1429,65.3333,30,0,9.75,15,5,1.5,40.5294,22.0909,1.5,1,8.5,18,5,7,8,14.1429,0
"TMUE_0000000079.1",4.99079,3.16777,4.30785,2.05689,18.4051,100.384,12.3603,11.9579,0,0,1.98168,1.24455,0,0,0,0,0,0,11.1652,8.39099,0,0,0,1.99242
"TMUE_0000000079.2",0,0,15.3932,37.1416,10.664,50.1308,25.8025,5.3252,0,8.65776,2.73364,0,0,0,10.5067,0,0,0,10.2882,0,4.09235,0,0,8.7566
"TMUE_0000000079.3",10.5814,4.89822,19.5572,38.0967,55.4427,79.7832,49.935,71.5185,0,0,0,0,0,0,0,0,0,1.55034,25.9803,5.31202,5.43973,5.42792,5.41661,9.25033
"TMUE_0000000079.4",141.241,0,1.68668,0.00118853,93.6727,2.84527e-05,0,0.0124012,35.6591,0,0,0,0,0,1.72713,0,5.49261,10.2856,94.1962,190.316,0,0.0821045,0.93912,2.70072e-08
"TMUE_0000000079.5",0.00108185,0,260.168,450.188,171.841,190.403,317.484,156.723,0.000550956,14.3221,9.1334,0,0,0,3.96379e-06,0,1.3272e-05,0.000104351,93.6471,3.22036e-05,0,48.7864,110.791,4.40798
"TMUE_0000000079.6",0,11.5889,0,0,0,87.8792,14.9816,0,5.9525,0,0,0,16.4094,0,2.43787e-06,5.48349,0,0.00105322,36.2265,0,42.5598,0,1.11527e-06,53.141
"TMUE_0000000080.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"TMUE_0000000081.1",85.4176,0,82.3518,233.934,95.0601,116.718,232.989,92.3755,8.85739,72.6197,92.6303,0,35.2737,49.1846,100.983,0,12.1009,86.9646,237.066,133.519,3.77887,78.5413,143.497,0
"TMUE_0000000081.2",22.4506,15.5698,58.2096,65.2053,88.4814,74.8186,77.3663,26.7779,49.9122,0,12.3383,16.5454,0.451743,23.9047,46.1398,23.2552,5.64643,8.30034,18.4407,31.5757,14.7891,38.052,17.2797,7.20409
"TMUE_0000000082.1",2.5,0,0,2.68717,13.8806,0,2.5,0,0,0,0,0.5,0,0,0,0,0.5,7,1.59233,78.5958,7.77174,31.0986,105.562,5.30945
"TMUE_0000000083.1",2.09507,0.629716,0.951104,1.42092,0,6.47452,5.96754,0.567042,0,0,0,0,0,0,1.77618,0,0.5,1.21697,0.562089,1.58411,1.62548,1.60584,4.53015,1.88015
"TMUE_0000000084.1",0,0,1,2,1,0,3,0,0,0.5,0,0,1.5,1,0.5,0,0,0,0,1,0,0,0,0
"TMUE_0000000085.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TMUE_0000000086.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
"TMUE_0000000087.1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_0000000088.1",0,0,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,3.5,4,1,2.5,1,3,3.5
"TMUE_0000000089.1",0,0,0,1,0,0.5,0.5,0,0,0,0,0,0,1,0,0,0,0,1.5,0,4,3,1.5,3
"TMUE_0000000090.1",0,2.82718,0,0,0,4.29007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_0000000091.1",0,0,0.5,3,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,5.5,51,25.5,48,88,9.5
"TMUE_0000000092.1",0,0,1,2.2629e-07,0,0,17.6026,46,0,1,1,1,0,7,4,0,3,4,83.8617,354.229,611.37,640.438,948.74,306.352
"TMUE_0000000093.1",0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3.70074,0,0
"TMUE_0000000094.1",7.5,0,29,64,45.5,63.5,46.5,32,0.5,7,12.5,3.5,16,6,6.5,3,3,5,12.5,12,3.5,5.5,6,2
"TMUE_0000000095.1",15.3333,1.33333,10.3333,39,25.6667,21,28.6667,15.3333,4.33333,10.6667,8,4.33333,2.33333,9.33333,15,4.33333,5,11,37,31,4.66667,50.3333,28.3333,5.66667
"TMUE_0000000096.1",1.5,0,2.5,3,6,3.5,0,1,0,0,0.5,0,0,0,0,0,0,0,2.5,1.5,0,1,0,0
"TMUE_0000000097.1",20,0,26.8167,92,25.8445,87.0824,58.6381,40.7464,0,0,0,6,0,28.4103,34.1569,8,0,0,42.9377,40.5893,0,31,42.2602,0
"TMUE_0000000098.1",69.5,3.5,113,184,138.5,135,153,85,17.5,47,44.5,10,28.5,60,69.5,23,12,68,512.5,378.5,33.5,171.5,303.5,24
"TMUE_0000000099.1",0,0,1.5,5,1.5,3,3,4,0,0,0,0,1,2.5,0,0,0.5,0,16.5,13,1.5,21.5,10.5,2.5
"TMUE_0000000100.1",39,14.5,36,93,55,186.5,88.5,46.5,10.5,40.5,52,16,13.5,19,43.5,24.5,7,38.5,89.5,60.5,37.5,52,57.5,30
"TMUE_0000000101.1",1859.5,74,2207,5791,3856,2305,6941.5,1127,291.5,356,1166.5,238.5,365,1224.5,1222,318.5,178.5,890,564,1764.5,90.5,1682.5,637.5,156
"TMUE_0000000102.1",6,2.5,3.5,6.5,13,111,5.5,8.5,3,1.5,5.5,2,1,4.5,2.5,2,2,4,8.5,11.5,75.5,13.5,11,44.5
"TMUE_0000000103.1",5.5,2,1,18.5,7,28.5,9.5,3.5,0.5,4,0.5,0,0,1,0,0.5,0.5,0,26.5,267,29,290,334,16.5
"TMUE_0000000104.1",523.5,313.5,239.5,2392,1439,5796,1729.5,308,205.5,207,195.5,38.5,9.5,30.5,25,8,4.5,16.5,31,31,186.5,68,59.5,176.5
"TMUE_0000000105.1",12,35,1,68.5,36,343.5,50.5,82.5,10.5,2,4,0,0,0.5,2,0,0,1.5,0,1.5,47.5,2,5.5,21.5
"TMUE_0000000106.1",2.5,0.5,0,1,7,15,2.5,5.5,0,0,0,0,0,0,0,0,0,0,1.5,0,7.5,5.5,7,3.5
"TMUE_0000000107.1",26,7,28.5,91.5,54,100.5,69,45,5.5,15.5,7,4,15.5,44,14,17,4,31,88.5,61,32,33,114.5,22.5
"TMUE_0000000108.1",2.5,0,1,1.5,1.5,2.5,4,4.5,0,0,0,1,0,0,0,0,0,0,33,13.5,8.5,18,24.5,6.5
"TMUE_0000000109.1",0,0,0,0.5,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TMUE_0000000110.1",0,0,0,6.5,0,0.5,1,0,0,2.5,0,0,0,0.5,0,0,0,1,0,0,0,2.5,1,0.5
"TMUE_0000000111.1",0,0,0,3.34715,0,0,0,0,4,1,0,0,0,0,0,0,3,2,0,0,0,0,0,11
"TMUE_0000000112.1",4,0,0,7.24739,4.641,0,0,6,0,0,0,0,0,2.86297,0,0,0,4.40097,5.77376,1.46974,6.49351,0,6.23964,6
"TMUE_0000000113.1",0,0,0,4.5,0,17,0.5,1,0,0,2,0,0,0,2,0,0,2,1,0.5,4.5,1.5,0.5,3
"TMUE_0000000114.1",40.7558,0.892932,94.4784,149.819,84.1118,105.123,138.667,118.485,3.93569,39.797,46.1466,6.07551,34.1339,159.612,160.304,63.915,23.7885,106.225,523.878,418.832,66.2514,235.504,320.897,69.1473
"TMUE_0000000115.1",9.7834,6.41123,26.4569,16.4435,24.286,36.5186,0,0,34.1864,47.0346,21.701,0,37.434,62.8081,102.52,15.8785,0,32.0572,223.009,122.328,17.3704,114.857,150.498,53.6091
"TMUE_0000000116.1",0,0,0,0,1,2.5,1,1,0,0,0,0,0,0,2.5,0,0,0,7,7.5,0,9.5,14,2
"TMUE_0000000117.1",47.7672,21.8724,51.7262,80.4066,71.1193,797.143,292.748,167.877,24.2968,40.6925,81.2188,11,19.8474,52.2094,18.9722,28.2243,0,30,67.2061,42.215,100.408,59.4413,42.4021,96.9742
"TMUE_0000000118.1",40.5,25.5,133,129,101,938,124,115.5,36,13.5,46.5,13.5,21,29.5,33,43.5,25,25,450,241.5,341,103,150.5,320.5
"TMUE_0000000119.1",48,11,139,270,124.5,175,180,82.5,7,38.5,28.5,6,13,35.5,67.5,30,5.5,23.5,144.5,124.5,23.5,72.5,102.5,33
"TMUE_0000000120.1",9,5.5,45.5,50,47.5,93,108,34,6,7.5,14,4.5,2,8,3,4,0,9.5,3.5,4.5,7,5,7.5,8
"TMUE_0000000121.1",21.5,6,17,83.5,61.5,48,108.5,41,12.5,10,22.5,5,3.5,20.5,33,10.5,3,14.5,10.5,33.5,17,45,53.5,15
"TMUE_0000000122.1",0,0,0,3,2.5,9.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,2,0
"TMUE_0000000123.1",1,1,7.5,45.5,24,24.5,12,6,0,4,0.5,0,2,5,2.5,0.5,0.5,5,46.5,73,17.5,65.5,45,8.5
"TMUE_0000000124.1",86.5,5,77.5,316.5,218.5,93.5,134,103,3.5,35,20.5,2,42,148.5,108.5,45,15,74,212,259.5,29,232.5,296,28
"TMUE_0000000125.1",45,4,143.5,174,337,95,196,214,7.5,27.5,27.5,3,2,6,20.5,3,5,24,9,18.5,6.5,40.5,34,10.5
"TMUE_0000000126.1",0,1,0.5,0,0,18.2609,3.5,1,0,0,1,0,5,0.808772,0.807604,0,0,1,0.5,1,4,0,0,1.63745
"TMUE_0000000127.1",10.5,0,14.5,24.4953,30.5,38.5,19.5,17,2.40067,5.20234,13.9974,0,14.5,22.5979,16.5,4.5,0,16.3892,68.6941,53.1722,5.2906,45.4919,53.1223,10.5139
"TMUE_0000000128.1",35.5,2,24,260.5,74,87,99.5,35,3,29.5,27.5,3.5,30,60.5,44,17.5,4.5,34.5,30,45,5,42,50,6
"TMUE_0000000129.1",0,0,0,0,0,4.45513,1.83132,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10763,0,0,0
"TMUE_0000000130.1",0,0,0,45.3277,21,16.274,0,2.22752,0,0,0,8,0,6.49707,5,3,1,11,120.999,571.178,624.565,1370.92,2980.2,508.4
"TMUE_0000000131.1",38.2449,1,45,223.056,68.5437,68.818,241.372,57.4245,21.1318,35,114.734,19,16,27.4597,77.999,10.8463,0,74.6947,148.955,219.547,25,160,131.726,27
"TMUE_0000000132.1",27.0627,2.53963,47.9459,46.2684,63.4022,262.413,77.5437,34.8062,9.52315,43.3738,28.0878,0,12.462,35.6821,40.5647,8.17852,16,24.0636,114.024,61.3213,28.8361,27.426,48.5229,23
"TMUE_0000000133.1",107.045,8.7076,99.2561,273.587,168.339,236.178,172.998,103.305,45.9396,92.8753,95.6776,10,55.4224,102.257,109.258,59.1059,22.9531,83.6045,405.593,307.114,122.999,185.444,337.631,102.438
"TMUE_0000000134.1",30,7,89.1731,115.516,101.405,288.082,130.262,60.749,3,10.9562,25.1541,4,3,0,7,18,4,6,84.6809,21.8837,15.2375,12.1997,21,32
"TMUE_0000000135.1",22,1,18,77,21,22,146,17,5,24,88,6,68,144,87,85,27,104,284,338,12,466,124,12
"TMUE_0000000136.1",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5
"TMUE_0000000137.1",3.22458,1.5,5.5,26.897,6.95585,9.02516,10.8215,7.85661,0.5,0.5,1.5,0.5,1,0,0,0,0,0,6.10232,26.1987,3.19958,37.2365,12.2811,2.7137
"TMUE_0000000138.1",33.5,2.5,49,134,115.5,151,102.5,63.5,7.5,14,22,5.5,3,28.5,23,15.5,3.5,16,27.5,32.5,22,25,42.5,17.5
"TMUE_0000000139.1",0,0,1.5,2.5,6.5,15.5,6,4,1,2.5,0,1.5,0,2,2,0,0,3,1.5,2,3.5,3,1.5,1
"TMUE_0000000140.1",31,11,44.5,133.5,71,217,65,46.5,33.5,9,9,3.5,5.5,5,14,5.5,1,5,25,28.5,26.5,15,18.5,19.5
"TMUE_0000000141.1",24.5,4.5,22.5,58.5,30,83,46,21,4.5,27.5,14,3,17,13.5,22,11,1.5,9,31.5,23,19,19,14,16
"TMUE_0000000142.1",45.5357,4,20.2557,41.9484,39.1374,120.907,52.5407,17.8438,0,9.88567,10,5.15884,0,10.7676,6.41592,13,5,6,19.34,23.3501,7.90467,8.54626,46.3856,0
"TMUE_0000000143.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.39535,0,0,1.43036,0,1.73984
"TMUE_0000000144.1",21.2769,28.3804,32.9837,121.919,46.2213,721.136,67.7639,31.0655,0,26.5292,17.2175,0,17.0625,62.5097,94.3576,35.518,14.0442,29.009,136.345,106.889,457.958,54.4331,155.528,410.092
"TMUE_0000000145.1",10.5788,0,16.891,66.0383,33.3585,38.8761,56.494,30.4297,0,8.2442,8.994,0,0,2.9736,28.2444,0,0,13.7438,28.8622,22.7348,2.6444,12.9603,15.3017,4.95211
"TMUE_0000000146.1",0,0,7.99994,0,11,0,16.9999,2.99999,0,0,0.999997,0,0,0,0,2.99999,2.99999,0.999986,0,0,0,0,8.99995,3.99999
